user_id,timestamp,time_of_day_hour,day_of_week,location,current_activity,preceding_activity,productive_session_duration_minutes,time_since_productive_activity_minutes,stress_level,fatigue_level,notifications_last_30min,phone_unlocks_last_hour,last_app_category,ambient_noise_level,device_battery_level,recent_screen_time_today_minutes,is_weekend,weather_condition,fell_into_distraction,distraction_duration_minutes
user_1,2023-01-02 04:42:35,4,Monday,school,social,studying,0.0,112.23996247795321,5,1,6,17,entertainment,moderate,3,600,0,sunny,1,50.55945513691759
user_1,2023-01-02 06:37:48,6,Monday,cafe,working,studying,82.60456387794073,22.846993982009984,1,4,1,7,entertainment,quiet,3,1,0,cloudy,0,0.0
user_1,2023-01-04 05:16:07,5,Wednesday,school,studying,break,67.46237829458838,336.61133031498986,4,4,8,7,news,loud,84,337,0,cloudy,1,11.63789603925302
user_1,2023-01-04 18:51:09,18,Wednesday,school,entertainment,break,0.0,9.29710425735708,1,1,7,10,news,quiet,80,391,0,rainy,0,0.0
user_1,2023-01-04 19:29:25,19,Wednesday,library,social,studying,0.0,117.15614300548489,2,1,6,4,productivity,quiet,98,546,0,rainy,0,0.0
user_1,2023-01-07 02:23:55,2,Saturday,school,studying,social,47.70248481165379,69.43612541989717,3,1,3,3,social_media,moderate,93,484,1,sunny,0,0.0
user_1,2023-01-08 12:02:23,12,Sunday,home,working,social,66.65784880977859,142.40863359512142,4,2,9,12,entertainment,loud,61,27,1,cloudy,0,0.0
user_1,2023-01-08 13:53:31,13,Sunday,home,working,exercise,54.836304029273215,125.1892981541213,1,4,8,2,productivity,quiet,69,455,1,sunny,0,0.0
user_1,2023-01-09 11:23:00,11,Monday,school,working,break,69.21911230840587,46.84605634577693,1,4,0,16,productivity,quiet,57,563,0,rainy,0,0.0
user_1,2023-01-10 02:40:01,2,Tuesday,home,break,social,0.0,112.85904851791118,2,4,5,4,news,quiet,95,224,0,sunny,0,0.0
user_1,2023-01-10 03:55:43,3,Tuesday,school,break,break,0.0,133.8186012356752,3,3,0,5,productivity,loud,23,197,0,sunny,0,0.0
user_1,2023-01-11 14:44:00,14,Wednesday,home,social,social,0.0,4.995571175321424,4,4,10,3,social_media,quiet,18,345,0,sunny,1,10.764458768242326
